Title, Price, Listing, Location
3312ADLINE UPSTRAIR UNIT ,$3500,http://sfbay.craigslist.org/eby/apa/3860733317.html,(oakland west)
"""Downtown lovenest,flowers,parkview,large patio,hdwdflrs, cport,d/w",$1995,http://sfbay.craigslist.org/pen/apa/3860733246.html,(palo alto)
Historical Niles Home,$2000,http://sfbay.craigslist.org/eby/apa/3860732131.html,(fremont / union city / newark)
Fully Furnished Top Floor Downtown San Carlos Condo                   ,$1600,http://sfbay.craigslist.org/pen/apa/3809726068.html,(san carlos)
"Studio Apartment, Walk to Ocean Beach & Golden Gate Park",$895,http://sfbay.craigslist.org/sfc/apa/3860728075.html,(richmond / seacliff)
STUDIO IN SKYHAWK AREA,$13500,http://sfbay.craigslist.org/nby/apa/3860727831.html,(santa rosa)
Incredibly Spacious Luxury Home Available Now - ReLISTO,$1200,http://sfbay.craigslist.org/sfc/apa/3848818167.html,(USF / panhandle)
Large 1 bed. 1 BA studio near SJSU,$1200,http://sfbay.craigslist.org/sby/apa/3860725826.html,(san jose downtown)
Large 1 bed. 1 BA studio near SJSU,$1500,http://sfbay.craigslist.org/sby/apa/3853596924.html,(san jose downtown)
 quiet community in PLEASANT HILL/ 2BD 2 BA,$725,http://sfbay.craigslist.org/eby/apa/3860724596.html,(concord / pleasant hill / martinez)
  1 bedroom downtown Vallejo,$4495,http://sfbay.craigslist.org/eby/apa/3847465779.html,(vallejo / benicia)
Nob Hill Luxury Flat ,$4500,http://sfbay.craigslist.org/sfc/apa/3860723126.html,(north beach / telegraph hill)
Fully Furnished and New,$1800,http://sfbay.craigslist.org/sfc/apa/3860722498.html,(Sausalito)
"Serene, large 1 bd. apt. in lovely setting",$725,http://sfbay.craigslist.org/nby/apa/3860721695.html,(kentfield / ross)
  1 bedroom downtown Vallejo,$1450,http://sfbay.craigslist.org/eby/apa/3847358727.html,(vallejo / benicia)
Single Family Home in Suisun City - 3 BR / 2 BA,$1150,http://sfbay.craigslist.org/eby/apa/3860719166.html,(fairfield / vacaville)
Available NOW: Studio Apt - Walk to Santa Clara Cal Train Station!,$2100,http://sfbay.craigslist.org/sby/apa/3860718243.html,(santa clara)
"1.5 bathPool,Balcony&Fireplace!Water&Garbage INCLUDED!",$1500,http://sfbay.craigslist.org/pen/apa/3860716771.html,(daly city)
1 1/2 bath town home for rent,$2400,http://sfbay.craigslist.org/eby/apa/3860716651.html,(oakland east)
Single House for Rent,$3300,http://sfbay.craigslist.org/sby/apa/3860715053.html,(san jose east)
Single Family home in Gomes/Mission sanjose school zone,$1095,http://sfbay.craigslist.org/eby/apa/3860713076.html,(fremont / union city / newark)
Clean and spacious 2bd 1.5ba apartment in Rodeo,$10500,http://sfbay.craigslist.org/eby/apa/3845582300.html,"(hercules, pinole, san pablo, el sob)"
Huge Bright Brand NEW Penthouse - ReLISTO ,$3095,http://sfbay.craigslist.org/sfc/apa/3807053050.html,(SOMA / south beach)
"Bright, Clean,Spacious and in the MARINA!! - ReLISTO",$4400,http://sfbay.craigslist.org/sfc/apa/3834688631.html,(marina / cow hollow)
 Remodeled-3 bdrm/2 bath-plus bonus room w/closet-Hrdwood-2 Fireplaces,$1495,http://sfbay.craigslist.org/sfc/apa/3844665054.html,(richmond / seacliff)
$1495 1 bedroom condominium,$2900,http://sfbay.craigslist.org/eby/apa/3860711219.html,(berkeley)
Yountville-Pool/Spa,$6500,http://sfbay.craigslist.org/nby/apa/3860711203.html,(napa county)
Tri - Level Loft - Now Available - ReLISTO ,$3980,http://sfbay.craigslist.org/sfc/apa/3820223093.html,(SOMA / south beach)
 fdbV**  Spacious 2 Story Beauty with 2 Full Baths Near Downtown! - Rent to Own ,$6000,http://sfbay.craigslist.org/pen/apa/3860710269.html,img
Brand New Urban Condo - Coming Soon! - ReLISTO ,$1650,http://sfbay.craigslist.org/sfc/apa/3837662014.html,(SOMA / south beach)
Furnished Condo with Incredible View,$1995,http://sfbay.craigslist.org/sfc/apa/3837850731.html,(SOMA / south beach)
"**Beautiful Santa Rosa House Available 7/12**W/D, Lake, Pool, Jacuzzi",$2700,http://sfbay.craigslist.org/nby/apa/3860709280.html,(santa rosa)
Sunny & Spacious unit,$1495,http://sfbay.craigslist.org/sfc/apa/3860708178.html,(richmond / seacliff)
View Home with2 bed + Huge Bonus Room - Remodeled,$675,http://sfbay.craigslist.org/sfc/apa/3860707319.html,(visitacion valley)
One bedroom apt. Moraga,$4395,http://sfbay.craigslist.org/eby/apa/3816320737.html,(lafayette / orinda / moraga)
Room for rent near Santa Clara University,$3400,http://sfbay.craigslist.org/sby/apa/3860706581.html,(santa clara)
 Available Now: Walk to all 3 Top Tino Schools,$1900,http://sfbay.craigslist.org/sby/apa/3860706395.html,(cupertino)
5 Bedroom 3 bath Park like setting available last week of June.,$1800,http://sfbay.craigslist.org/nby/apa/3860705495.html,(novato)
2B/2B Apt Warm Spring $1900,$1125,http://sfbay.craigslist.org/eby/apa/3860705414.html,(fremont / union city / newark)
House for Rent,$2850,http://sfbay.craigslist.org/eby/apa/3860705278.html,(oakland east)
Rohnert Park Large Sunny 2 Bedroom + Garage,$1500,http://sfbay.craigslist.org/nby/apa/3860705204.html,(rohnert pk / cotati)
Luxurious Brand New Apartment in the most prestigious neighborhood ,$2500,http://sfbay.craigslist.org/sby/apa/3860705152.html,(mountain view)
"Great Home, Great Neighborhood, 4br",$11999,http://sfbay.craigslist.org/eby/apa/3860704378.html,(fairfield / vacaville)
Mare Island Beauty ,$3500,http://sfbay.craigslist.org/eby/apa/3827517270.html,(vallejo / benicia)
Furn/Unfurn Spectacular Penthouse! SF Bay & Bridge views! Pet ok! ~ J.,$1850,http://sfbay.craigslist.org/sfc/apa/3860703474.html,(marina / cow hollow)
Rent to Own in Cupertino's Monta Vista Area,$1500,http://sfbay.craigslist.org/sby/apa/3838992457.html,(cupertino)
4/2 spacious bright house in heart of pittsburg,$6500,http://sfbay.craigslist.org/eby/apa/3860700277.html,(pittsburg / antioch)
Ultra-modern SOMA loft Truly unique|||||,$2500,http://sfbay.craigslist.org/sfc/apa/3860700132.html,(SOMA / south beach||||||||||||||||||||||)
"Historic, Modern, Green and Grand! 3br/3.5ba Condo ~ J.Wavro",$1500,http://sfbay.craigslist.org/sfc/apa/3860699901.html,(mission district)
Nice Single family home for rent,$1525,http://sfbay.craigslist.org/eby/apa/3860698997.html,""
"3 Bdrm/2 Bath, Single Family Home for Rent",$2900,http://sfbay.craigslist.org/nby/apa/3860698697.html,(novato)
Ultra-modern SOMA loft Truly unique||||||||||||||||,$3200,http://sfbay.craigslist.org/sfc/apa/3860698655.html,(SOMA / south beach||||||||||||||||||||||)
4 Bath - EXCLUSIVE LAKE FRONT HOME,$1500,http://sfbay.craigslist.org/nby/apa/3860698281.html,(lake county)
"Cow Hollow / Two bedroom $2,900",$7900,http://sfbay.craigslist.org/sfc/apa/3860697588.html,(marina / cow hollow)
Beautiful modern 2 bedroom apartment for sublet,$2600,http://sfbay.craigslist.org/sfc/apa/3860697528.html,(inner sunset / UCSF)
Ultra-modern SOMA loft Truly unique|||||||||||||,$2700,http://sfbay.craigslist.org/sfc/apa/3860697391.html,(SOMA / south beach|||||||||||||||||||||)
2 bedroom penthouse condo - Amazing views ~ J.Wavro,$1200,http://sfbay.craigslist.org/sfc/apa/3860697117.html,(pacific heights)
HURRY! Last STUDIO Apartment home left at this LOW price!,$4200,http://sfbay.craigslist.org/sfc/apa/3860695363.html,(potrero hill)
4-bed/2-bath upper level unit in nice neighborhood - available 7/1,$1850,http://sfbay.craigslist.org/pen/apa/3848143466.html,(daly city)
GREAT FAMILY-LOOKING FOR A GREAT HOME!,$2545,http://sfbay.craigslist.org/eby/apa/3860694813.html,(concord / pleasant hill / martinez)
Pristine and spacious Castro flat ~ J.Wavro,$7600,http://sfbay.craigslist.org/sfc/apa/3860694613.html,(castro / upper market)
NEW HOME 4 Bedroom + LOFT /3 Bath Home - $1850,$1285,http://sfbay.craigslist.org/eby/apa/3860692162.html,(dublin / pleasanton / livermore)
corner house 35th/vicente close to sfsu,$1450,http://sfbay.craigslist.org/sfc/apa/3860691706.html,(sunset / parkside)
Executive Ranch Home w/Fabulous Landscape: 3 BR/2BA ,$2150,http://sfbay.craigslist.org/pen/apa/3860691048.html,(menlo park)
3br/2ba House In Spectacular Location,$1995,http://sfbay.craigslist.org/eby/apa/3860690395.html,(richmond / point / annex)
"2BD+LOFT,2.5BA HOUSE IN OAKLEY",$9750,http://sfbay.craigslist.org/eby/apa/3838102353.html,(brentwood / oakley)
Great Vacaville Home in a Court Location,$3500,http://sfbay.craigslist.org/eby/apa/3853000841.html,(fairfield / vacaville)
Remodeled Hayes Valley Apartment!  Hardwood Floors! ~ J.Wavro,$1290,http://sfbay.craigslist.org/sfc/apa/3860688618.html,(hayes valley)
Exquisite Furnished home.  ~ J.Wavro,$2250,http://sfbay.craigslist.org/sfc/apa/3860686188.html,(glen park)
4 bedrooms/ 2.5 bath/ 2 car garage San Bruno Ave,$1595,http://sfbay.craigslist.org/sfc/apa/3850259456.html,(portola district)
Brand New Appliances In This 3br/2.5ba,$3000,http://sfbay.craigslist.org/scz/apa/3860684302.html,(watsonville)
1 Bedroom 1 Bath in Nob Hill,$1750,http://sfbay.craigslist.org/sfc/apa/3855526841.html,(nob hill)
Newly remodeled Studio available in Lower Nob Hill ~ J.Wavro,$9000,http://sfbay.craigslist.org/sfc/apa/3860683112.html,(tenderloin)
" 3 bath, 3 car garage, In-ground Pool, hardwood floors, huge corner lot  ",$2850,http://sfbay.craigslist.org/sfc/apa/3860683005.html,img
"Charming, private, central 3bdr 2bth house with garden oasis ",$8295,http://sfbay.craigslist.org/eby/apa/3860682382.html,(berkeley)
N. Arlington Home,,http://sfbay.craigslist.org/eby/apa/3860681276.html,"(hercules, pinole, san pablo, el sob)"
"Beautiful Home with Amazing Views,2 Fireplaces, Yard-Deck, Garage and ",,http://sfbay.craigslist.org/nby/apa/3860680905.html,(tiburon / belvedere)
4 Bed/bath Townhouse close to good school ,,http://sfbay.craigslist.org/eby/apa/3860679278.html,(fremont / union city / newark)
Legendary Luxury @ St. Regis Residences **Video Tour**,,http://sfbay.craigslist.org/sfc/apa/3802568139.html,(SOMA / south beach)
