Remodeled 4-bedroom Bay Point house,$3380,http://sfbay.craigslist.org/eby/apa/3843330494.html,(pittsburg / antioch)
 GREAT RENT TO OWN HOME IN GREAT COMMUNITY  ,$2285,http://sfbay.craigslist.org/eby/apa/3860880736.html,img
"San Ramon, CA",$2700,http://sfbay.craigslist.org/eby/apa/3860879775.html,(danville / san ramon)
Cute 3 bedroom house with hardwood floors! Upgraded,$6500,http://sfbay.craigslist.org/scz/apa/3860879666.html,(soquel)
"Executive Home, minutes from Google & Shoreline Park",$12500,http://sfbay.craigslist.org/sby/apa/3860879148.html,(mountain view)
Spacious 2 Bed 1 Bath AVAILABLE NOW,$1075,http://sfbay.craigslist.org/eby/apa/3838246271.html,(san leandro)
 Guarantee your 3 bedroom EARLY for Summer  ,$5980,http://sfbay.craigslist.org/eby/apa/3860878022.html,img
Very Spacious 3 Bedroom 2 Bath Newly Remodeled Home,$1525,http://sfbay.craigslist.org/eby/apa/3860877804.html,(oakland west)
4BR/2BA Single Family House for rent,$4900,http://sfbay.craigslist.org/pen/apa/3860877767.html,(pacifica)
Beautiful 2 BR Loft Style Apartment in SOMA ,$1200,http://sfbay.craigslist.org/sfc/apa/3839273170.html,(SOMA / south beach)
Beautiful Brand New Townhome Steps from Santana Row,$2960,http://sfbay.craigslist.org/sby/apa/3860877142.html,(san jose west)
 3bd/2 bath with garage  ,$1995,http://sfbay.craigslist.org/eby/apa/3860877117.html,img
" Great location1 bedroom apartment, one block from old town ",$1195,http://sfbay.craigslist.org/nby/apa/3860876952.html,(novato)
warm and cozy home ready to move in..save $$$,$800,http://sfbay.craigslist.org/sby/apa/3860876693.html,(san jose west)
 Beautiful Home RENT TO OWN  ,$2095,http://sfbay.craigslist.org/sfc/apa/3860876565.html,img
 3 bedroom and 2 bathrooms apartment home with spacious closets  ,$5777,http://sfbay.craigslist.org/eby/apa/3860876295.html,img
Stunning Tri-Level Contemporary Style Duet in Dublin - Top Schools! ,$950,http://sfbay.craigslist.org/eby/apa/3856511655.html,(dublin / pleasanton / livermore)
"3bdr, 2bth with great finishes",$2000,http://sfbay.craigslist.org/nby/apa/3860874534.html,(san rafael)
Fully remodeled SFH Court location great school - $3380,$2650,http://sfbay.craigslist.org/eby/apa/3853545628.html,(fremont / union city / newark)
Downtown 2bed/2bath loft with private patio,$5950,http://sfbay.craigslist.org/eby/apa/3860873082.html,(oakland downtown)
"3 Bedroom,  2½ Bath Townhouse for rent",$2700,http://sfbay.craigslist.org/sby/apa/3860872932.html,(san jose south)
"*Monterey Heights"" OceanView Newly Furnished 4B/2.5B Beautiful House ",$3200,http://sfbay.craigslist.org/sfc/apa/3813490048.html,(west portal / forest hill)
"LosAltosHills 5bed/4ba pool, tennis, 5 frpl, gourmet kitchen",$1200,http://sfbay.craigslist.org/pen/apa/3860869552.html,(los altos)
Cottage short-term rental Los Altos Hills,$3595,http://sfbay.craigslist.org/pen/apa/3856836993.html,(los altos)
**Ocean View+Great Neighborhood**Beautiful 5B/3B Home Nearby SF Woods ,$3000,http://sfbay.craigslist.org/sfc/apa/3848020478.html,(Sherwood Forest )
  RENT-to-Own This Fully Furnished Single Wide Home!  ,$1500,http://sfbay.craigslist.org/scz/apa/3860867352.html,img
4 blocks from U.C. Campus,$2200,http://sfbay.craigslist.org/eby/apa/3860866976.html,(berkeley)
Unbeatable  single family home in Merced Manor,$1875,http://sfbay.craigslist.org/sfc/apa/3860866759.html,(west portal / forest hill)
1 Bdrm Cottage Apartment in Holiday Estates,$1895,http://sfbay.craigslist.org/sby/apa/3860865627.html,(morgan hill)
 Giant 3 bedroom on the pool with 2 car attached garage!   ,$1490,http://sfbay.craigslist.org/nby/apa/3860864993.html,img
 QayU**  Rent To Own - Chandler Home in Great Neighborhood   ,$2100,http://sfbay.craigslist.org/sfc/apa/3860864968.html,img
"$1,476 to $1,510 Studio; $1,675 to $1,795 1Br",,http://sfbay.craigslist.org/sby/apa/3860862550.html,pic
"$1,485 - $1,550 Studio & $1,675 - $1,795 1BR",,http://sfbay.craigslist.org/pen/apa/3860861140.html,pic
"LosAltosHills 5bed/4ba pool, tennis 5230 sqft 5frpl $12500 VIRT TOUR",,http://sfbay.craigslist.org/pen/apa/3860860987.html,img
1 - 3 Bedrooms - 388 Beale SF,,http://sfbay.craigslist.org/sfc/apa/3856231304.html,(bayview)
2 Bed and 2 Full Bath-Moraga,,http://sfbay.craigslist.org/eby/apa/3860859123.html,(lafayette / orinda / moraga)
"Montclair, Spacious Studio in Oakland Hills",,http://sfbay.craigslist.org/eby/apa/3860858013.html,(oakland piedmont / montclair)
"LosAltosHills 5bed/4ba pool, tennis ct 5230sqft 5frpl VIRTUAL TOUR",,http://sfbay.craigslist.org/pen/apa/3860857313.html,img
waterfront home Clearlake Keys,,http://sfbay.craigslist.org/nby/apa/3860857026.html,(lake county)
"Bright, Spacious, Fresh Air from nature trail from you bedroom windows",,http://sfbay.craigslist.org/pen/apa/3860857018.html,(mountain view)
"AzariPM; VIEW,VIEW,VIEW!!!--Panoramic Bay/Downtown/Twin Peak",,http://sfbay.craigslist.org/sfc/apa/3860856704.html,(noe valley)
Beautiful One Furnished Bedroom For Rent ,,http://sfbay.craigslist.org/sfc/apa/3860853653.html,(bayview)
 Large 3 BR townhome with RENT TO OWN Finished bsmt and Double garage   ,,http://sfbay.craigslist.org/nby/apa/3860852887.html,img
Perfect Condition Oakley Home Rental,,http://sfbay.craigslist.org/eby/apa/3860852463.html,(brentwood / oakley)
3 bedroom KB Home for rent in Ardenwood fremont,,http://sfbay.craigslist.org/eby/apa/3860851477.html,(fremont / union city / newark)
"AzariPM; Sensational Panoramic View, Midtown Penthouse on 16th flr ",,http://sfbay.craigslist.org/sfc/apa/3860850994.html,(SOMA / south beach)
single family home for rent,,http://sfbay.craigslist.org/eby/apa/3860850381.html,(alameda)
Beautifully Renovated Loft in Heart of SOMA,,http://sfbay.craigslist.org/sfc/apa/3860849783.html,(SOMA / south beach)
Gated Mediterranean home 2 miles from napa county,,http://sfbay.craigslist.org/nby/apa/3860849525.html,pic
 new scheme RENT TO OWN  ,,http://sfbay.craigslist.org/sby/apa/3860849156.html,img
Mother in Law Suite/Private Studio Apartment on Mare Island,,http://sfbay.craigslist.org/eby/apa/3860849079.html,(vallejo / benicia)
Open mon 7pmLG 3 bedroom flat/Cole Vley/hardwd/laundry/LOCATION!,,http://sfbay.craigslist.org/sfc/apa/3855508959.html,(cole valley / ashbury hts)
Updated Single Story Townhome Available,,http://sfbay.craigslist.org/pen/apa/3860847769.html,(mountain view)
"East 17/22nd Ave Lar 3 bd 2 ba remod, hwd flr, yard, avl now, ",,http://sfbay.craigslist.org/eby/apa/3846939890.html,(oakland east)
"Clay/Hyde Sts lar remod 1 bd, hwd flr, 2 extr closets, apx 700sf",,http://sfbay.craigslist.org/sfc/apa/3851868364.html,(nob hill)
"Pine/Powell Sts, hwd floor, topflr, bright, central, laundry, av now  ",,http://sfbay.craigslist.org/sfc/apa/3835502955.html,(nob hill)
"Beautiful 3 bedroom, 1 bath San Leandro Home Great Location!",,http://sfbay.craigslist.org/eby/apa/3852263191.html,(san leandro)
 duplex front unit for rent,,http://sfbay.craigslist.org/eby/apa/3860844617.html,(oakland east)
Furnished house for rent in Muntain House,,http://sfbay.craigslist.org/eby/apa/3841786207.html,(dublin / pleasanton / livermore)
